Лошади;кобыла;спортивное;Лилит;2015-01-01;нет
Лошади;жеребец;спортивное;Брабус;2019-01-01;нет
Лошади;мерин;спортивное;Артист;2006-01-01;нет
Лошади;кобыла;спортивное;Барби;2007-01-01;нет
Лошади;кобыла;спортивное;Барселона;1997-01-01;нет
Лошади;кобыла;спортивное;Вега;2009-01-01;нет
Лошади;кобыла;спортивное;Герда;2007-01-01;нет
Лошади;кобыла;спортивное;Глаголика;2013-01-01;нет
Лошади;мерин;спортивное;Звонарь;2005-01-01;нет
Лошади;кобыла;спортивное;Даурия;2017-01-01;нет
Лошади;кобыла;спортивное;Зазноба;2001-01-01;нет
Лошади;мерин;спортивное;Зодиак;2011-01-01;нет
Лошади;кобыла;спортивное;Королева;2014-01-01;нет
Лошади;кобыла;спортивное;Кэт;2016-01-01;нет
Лошади;мерин;спортивное;Грог;2007-01-01;нет
Лошади;мерин;спортивное;Маэстро;2005-01-01;нет
Лошади;кобыла;спортивное;Мимоза;2009-01-01;нет
Лошади;кобыла;спортивное;Ника;2007-01-01;нет
Лошади;мерин;спортивное;Орлик;2001-01-01;нет
Лошади;кобыла;спортивное;Таволга;2014-01-01;нет
Лошади;кобыла;спортивное;Фаер харт;2014-01-01;нет
Лошади;мерин;спортивное;Феномен;2009-01-01;нет
Лошади;мерин;спортивное;Цезарь;1999-01-01;нет
Лошади;мерин;спортивное;Честер;2007-01-01;нет
Лошади;кобыла;спортивное;Элеонора;2015-01-01;нет
Лошади;мерин;спортивное;Яврик;2007-01-01;нет
Лошади;мерин;спортивное;Пульсар;2008-01-01;нет
Лошади;мерин;спортивное;Сакорон-деви;2008-01-01;нет
Лошади;кобыла;спортивное;Геология;2017-01-01;нет
Лошади;мерин;спортивное;Бекенгем;1999-01-01;нет
Лошади;кобыла;спортивное;Золушка;2012-01-01;нет
Лошади;кобыла;спортивное;Ласка;2014-01-01;нет
Лошади;кобыла;спортивное;Вазуза;2019-01-01;нет
Лошади;жеребец;спортивное;Бурбон;2013-01-01;нет
Лошади;жеребец;спортивное;Гаспар;2014-01-01;нет
Лошади;кобыла;спортивное;Габриэла;2014-04-10;нет
Лошади;кобыла;спортивное;Молекула;2016-01-01;нет
